timestamp (utc),transfer_id,txid,asset_id,template,rarity,mint,count_common,count_rare,count_secret,count_unique
33:19.5,18469557525,7a88b08c5b32ac903dabf54541a442adaa7cb23c3b5b2614240030c743bd2be7,1099564097075,278950,rare,89,144,75,9,1
33:19.5,18469558082,5238312e0a7ffa23c6ba3aa8f692b431fc87475d1372c154e6c4c4382c9580ce,1099564096988,278950,rare,2,144,76,9,1
33:21.5,18469561171,671f7044d44bcb6a253713933976f80f92518c1c17f6950949752431894df17b,1099564097523,278949,common,394,145,76,9,1
33:21.5,18469561238,b1a44c7d4d59e3b56a5be49ca3d66821bbaf19e156e67aec453efb5548c3dce4,1099564097711,278949,common,543,146,76,9,1
33:22.5,18469562057,b31d1e6d6dbfab46d89b890d1967c5021e59708823ce5d3a8380695267b542de,1099564097740,278949,common,572,147,76,9,1
7/09/2021 7:33,18469563967,58b66a1fea46f09fd16ca21ef2d059ccfc3100b9fb1513097372e29cd52151b1,1099564097083,278950,rare,97,147,77,9,1
7/09/2021 7:33,18469564230,826f63369b1739ef319e60b4953af4a977b91b7f24e4a785b8964aeebc4c2e95,1099564097678,278949,common,510,148,77,9,1
7/09/2021 7:33,18469566319,4b3514a1e40a3892f1f023da6804b6329d4fbbdecf336ef0c476056ca528605b,1099564097243,278949,common,116,149,77,9,1
33:26.5,18469566843,1b9e3bddf712e7acb80aa49087cffd0af61d793df4da220ed3229739c0f0782e,1099564097159,278949,common,35,150,77,9,1
33:28.5,18469569170,aa6891d1aa1c80605cfd70e1f7e337367095226884c26c1aa0221aed5068f45b,1099564097702,278949,common,534,151,77,9,1
7/09/2021 7:33,18469570885,70745d285d08cf7c8973747988296358a6e2b1b84af75f1b5202b8094f7c1741,1099564097166,278949,common,42,152,77,9,1
7/09/2021 7:33,18469572223,a04833f3ae06c2f0b1ce997fb8151fa94f8797aef9b2170f44f419ce37e891aa,1099564097534,278949,common,403,153,77,9,1
33:31.5,18469572920,df2bce8671ac1aa5d8484431cd557662e0f7c72735ed7767da03eaa156127b95,1099564097949,278949,common,778,154,77,9,1
7/09/2021 7:33,18469573698,aebb735264ceafe3ee6964f9359e2d211932ed161a3254c9698d6fa40a4d69d7,1099564097890,278949,common,719,155,77,9,1
